UNDERLYING                          ,SYMBOL,NOV-23     ,DEC-23     ,JAN-24     ,MAR-24     ,JUN-24     ,SEP-24     ,DEC-24     ,JUN-25     ,DEC-25     ,JUN-26     ,DEC-26     ,JUN-27     ,DEC-27     ,JUN-28     
NIFTY BANK                          ,BANKNIFTY ,15         ,15         ,15         ,15         ,15         ,15         ,           ,           ,           ,           ,           ,           ,           ,           
NIFTY 50                            ,NIFTY     ,50         ,50         ,50         ,50         ,50         ,50         ,50         ,50         ,50         ,50         ,50         ,50         ,50         ,50         
NIFTY MID SELECT                    ,MIDCPNIFTY,75         ,75         ,75         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NIFTY FINANCIAL SERVICES            ,FINNIFTY  ,40         ,40         ,40         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
Derivatives on Individual Securities,Symbol    ,NOV-23     ,DEC-23     ,JAN-24     ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BALRAMPUR CHINI MILLS LTD           ,BALRAMCHIN,1600       ,1600       ,1600       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ACC LIMITED                         ,ACC       ,300        ,300        ,300        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ABB INDIA LIMITED                   ,ABB       ,125        ,125        ,125        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ALKEM LABORATORIES LTD.             ,ALKEM     ,200        ,200        ,200        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ABBOTT INDIA LIMITED                ,ABBOTINDIA,40         ,40         ,40         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ADITYA BIRLA CAPITAL LTD.           ,ABCAPITAL ,5400       ,5400       ,5400       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ADITYA BIRLA FASHION & RT           ,ABFRL     ,2600       ,2600       ,2600       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ADANI ENTERPRISES LIMITED           ,ADANIENT  ,300        ,300        ,300        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ADANI PORT & SEZ LTD                ,ADANIPORTS,800        ,800        ,800        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
APOLLO HOSPITALS ENTER. L           ,APOLLOHOSP,125        ,125        ,125        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
APOLLO TYRES LTD                    ,APOLLOTYRE,1700       ,1700       ,1700       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ASTRAL LIMITED                      ,ASTRAL    ,367        ,367        ,367        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
AU SMALL FINANCE BANK LTD           ,AUBANK    ,1000       ,1000       ,1000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
AXIS BANK LIMITED                   ,AXISBANK  ,625        ,625        ,625        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BAJAJ AUTO LIMITED                  ,BAJAJ-AUTO,125        ,125        ,125        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BAJAJ FINSERV LTD.                  ,BAJAJFINSV,500        ,500        ,500        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BAJAJ FINANCE LIMITED               ,BAJFINANCE,125        ,125        ,125        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BALKRISHNA IND. LTD                 ,BALKRISIND,300        ,300        ,300        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BANDHAN BANK LIMITED                ,BANDHANBNK,2500       ,2500       ,2500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BANK OF BARODA                      ,BANKBARODA,2925       ,2925       ,2925       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHARAT ELECTRONICS LTD              ,BEL       ,5700       ,5700       ,5700       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHARAT FORGE LTD                    ,BHARATFORG,500        ,500        ,500        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHARTI AIRTEL LIMITED               ,BHARTIARTL,950        ,950        ,950        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHEL                                ,BHEL      ,5250       ,5250       ,5250       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BOSCH LIMITED                       ,BOSCHLTD  ,50         ,50         ,50         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHARAT PETROLEUM CORP  LT           ,BPCL      ,1800       ,1800       ,1800       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BRITANNIA INDUSTRIES LTD            ,BRITANNIA ,200        ,200        ,200        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GAIL (INDIA) LTD                    ,GAIL      ,4575       ,4575       ,4575       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GLENMARK PHARMACEUTICALS            ,GLENMARK  ,725        ,725        ,725        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BIRLASOFT LIMITED                   ,BSOFT     ,1000       ,1000       ,1000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CANARA BANK                         ,CANBK     ,2700       ,2700       ,2700       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CAN FIN HOMES LTD                   ,CANFINHOME,975        ,975        ,975        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CHAMBAL FERTILIZERS LTD             ,CHAMBLFERT,1900       ,1900       ,1900       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CHOLAMANDALAM IN & FIN CO           ,CHOLAFIN  ,625        ,625        ,625        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CIPLA LTD                           ,CIPLA     ,650        ,650        ,650        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
COAL INDIA LTD                      ,COALINDIA ,2100       ,2100       ,2100       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CONTAINER CORP OF IND LTD           ,CONCOR    ,1000       ,1000       ,1000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
COROMANDEL INTERNTL. LTD            ,COROMANDEL,700        ,700        ,700        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CROMPT GREA CON ELEC LTD            ,CROMPTON  ,1800       ,1800       ,1800       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CITY UNION BANK LTD                 ,CUB       ,5000       ,5000       ,5000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DALMIA BHARAT LIMITED               ,DALBHARAT ,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DELTA CORP LIMITED                  ,DELTACORP ,2800       ,2800       ,3000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DIXON TECHNO (INDIA) LTD            ,DIXON     ,100        ,100        ,100        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
EXIDE INDUSTRIES LTD                ,EXIDEIND  ,3600       ,3600       ,3600       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDRAPRASTHA GAS LTD                ,IGL       ,1375       ,1375       ,1375       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GMR AIRPORTS INFRA LTD              ,GMRINFRA  ,11250      ,11250      ,11250      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GUJ NAR VAL FER & CHEM L            ,GNFC      ,1300       ,1300       ,1300       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GRANULES INDIA LIMITED              ,GRANULES  ,2000       ,2000       ,2000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GRASIM INDUSTRIES LTD               ,GRASIM    ,475        ,475        ,475        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GUJARAT GAS LIMITED                 ,GUJGASLTD ,1250       ,1250       ,1250       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HCL TECHNOLOGIES LTD                ,HCLTECH   ,700        ,700        ,700        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HDFC AMC LIMITED                    ,HDFCAMC   ,300        ,300        ,300        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HDFC LIFE INS CO LTD                ,HDFCLIFE  ,1100       ,1100       ,1100       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDUS TOWERS LIMITED                ,INDUSTOWER,3400       ,3400       ,3400       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HINDALCO  INDUSTRIES  LTD           ,HINDALCO  ,1400       ,1400       ,1400       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
AMBUJA CEMENTS LTD                  ,AMBUJACEM ,1800       ,1800       ,1800       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BATA INDIA LTD                      ,BATAINDIA ,375        ,375        ,375        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ASHOK LEYLAND LTD                   ,ASHOKLEY  ,5000       ,5000       ,5000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HINDUSTAN COPPER LTD                ,HINDCOPPER,5300       ,5300       ,5300       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HINDUSTAN PETROLEUM CORP            ,HINDPETRO ,2700       ,2700       ,2700       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ICICI BANK LTD.                     ,ICICIBANK ,700        ,700        ,700        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ICICI LOMBARD GIC LIMITED           ,ICICIGI   ,500        ,500        ,500        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ICICI PRU LIFE INS CO LTD           ,ICICIPRULI,1500       ,1500       ,1500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
VODAFONE IDEA LIMITED               ,IDEA      ,80000      ,80000      ,80000      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
IDFC LIMITED                        ,IDFC      ,5000       ,5000       ,5000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDIAN ENERGY EXC LTD               ,IEX       ,3750       ,3750       ,3750       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
AUROBINDO PHARMA LTD                ,AUROPHARMA,1100       ,1100       ,1100       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
THE INDIAN HOTELS CO. LTD           ,INDHOTEL  ,2000       ,2000       ,2000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
METROPOLIS HEALTHCARE LTD           ,METROPOLIS,400        ,400        ,400        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BIOCON LIMITED.                     ,BIOCON    ,2500       ,2500       ,2500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MUTHOOT FINANCE LIMITED             ,MUTHOOTFIN,550        ,550        ,550        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
THE INDIA CEMENTS LIMITED           ,INDIACEM  ,2900       ,2900       ,2900       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
COLGATE PALMOLIVE LTD.              ,COLPAL    ,350        ,350        ,350        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PERSISTENT SYSTEMS LTD              ,PERSISTENT,175        ,175        ,100        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDIAMART INTERMESH LTD             ,INDIAMART ,300        ,300        ,300        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDUSIND BANK LIMITED               ,INDUSINDBK,500        ,500        ,500        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDIAN RAIL TOUR CORP LTD           ,IRCTC     ,875        ,875        ,875        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
JINDAL STEEL & POWER LTD            ,JINDALSTEL,1250       ,1250       ,1250       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
JK CEMENT LIMITED                   ,JKCEMENT  ,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
JSW STEEL LIMITED                   ,JSWSTEEL  ,675        ,675        ,675        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
JUBILANT FOODWORKS LTD              ,JUBLFOOD  ,1250       ,1250       ,1250       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DIVI S LABORATORIES LTD             ,DIVISLAB  ,200        ,200        ,200        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
KOTAK MAHINDRA BANK LTD             ,KOTAKBANK ,400        ,400        ,400        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
L&T FINANCE HOLDINGS LTD            ,L&TFH     ,4462       ,4462       ,4462       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DR. LAL PATH LABS LTD.              ,LALPATHLAB,300        ,300        ,300        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LAURUS LABS LIMITED                 ,LAURUSLABS,1700       ,1700       ,1700       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SHRIRAM FINANCE LIMITED             ,SHRIRAMFIN,300        ,300        ,300        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LIC HOUSING FINANCE LTD             ,LICHSGFIN ,2000       ,2000       ,2000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
