Symbol,"Expiry
Date","Last
Price",Change,"Chge
%","High
Low","Average
Price","Vol - Shares
 								Contracts","Value
(Rs. Lakh)","Open
Interest",Open Int Chg
IDEA,29-Mar-23,6.55,0.15,2.34%,"6.80
 								6.40",6.61,"121,940,000
 								1,742","8,060.23","399,210,000","-19,460,000
 -4.65%"
GAIL,29-Mar-23,106.00,0.30,0.28%,"108.35
 								103.35",105.94,"68,743,950
 								7,513","72,827.34","75,286,200","3,650,850
 5.10%"
IDFCFIRSTB,29-Mar-23,56.15,0.40,0.72%,"56.55
 								55.85",56.20,"59,235,000
 								3,949","33,290.07","140,445,000","-12,675,000
 -8.28%"
PNB,29-Mar-23,47.95,-0.05,-0.10%,"48.55
 								47.85",48.09,"47,776,000
 								2,986","22,975.48","182,112,000","-11,200,000
 -5.79%"
IDEA,27-Apr-23,6.60,0.15,2.33%,"6.85
 								6.45",6.66,"46,690,000
 								667","3,109.55","125,090,000","16,590,000
 15.29%"
IDFC,29-Mar-23,81.05,1.65,2.08%,"82.00
 								79.50",81.16,"45,410,000
 								4,541","36,854.76","151,330,000","-4,760,000
 -3.05%"
BANKBARODA,29-Mar-23,167.05,3.40,2.08%,"168.40
 								163.65",166.65,"41,441,400
 								7,084","69,062.09","77,758,200","-10,260,900
 -11.66%"
IDFCFIRSTB,27-Apr-23,55.95,0.20,0.36%,"56.50
 								55.60",56.04,"35,205,000
 								2,347","19,728.88","50,760,000","15,510,000
 44.00%"
TATASTEEL,29-Mar-23,105.10,-0.10,-0.10%,"106.25
 								104.50",105.36,"31,141,000
 								5,662","32,810.16","180,631,000","-5,225,000
 -2.81%"
GMRINFRA,29-Mar-23,39.65,-0.30,-0.75%,"40.45
 								39.65",40.00,"26,595,000
 								1,182","10,638.00","112,230,000","-2,385,000
 -2.08%"
PNB,27-Apr-23,48.30,0.00,0.00%,"48.80
 								48.20",48.37,"24,688,000
 								1,543","11,941.59","41,312,000","10,704,000
 34.97%"
HDFCBANK,29-Mar-23,"1,581.40",-4.05,-0.26%,"1,591.70
 								1,571.60","1,578.38","23,381,050
 								42,511","369,041.82","56,459,700","-9,672,300
 -14.63%"
SBIN,29-Mar-23,523.55,-1.15,-0.22%,"528.90
 								522.50",525.76,"22,536,000
 								15,024","118,485.27","74,365,500","-1,552,500
 -2.04%"
IDFC,27-Apr-23,81.70,1.85,2.32%,"82.55
 								79.95",81.70,"21,340,000
 								2,134","17,434.78","24,370,000","14,530,000
 147.66%"
ICICIBANK,29-Mar-23,860.40,6.00,0.70%,"862.85
 								852.85",857.74,"21,200,900
 								30,287","181,848.60","59,978,800","-7,128,100
 -10.62%"
ABCAPITAL,29-Mar-23,156.70,3.20,2.08%,"158.00
 								152.40",155.80,"19,720,800
 								3,652","30,725.01","33,037,200","-1,614,600
 -4.66%"
