,total_trades,winning_trades,win_rate,symbol
4,5,4,80.0,AUBANK
9,5,4,80.0,ADANIENT
17,9,7,77.77777777777779,AEGISCHEM
19,5,4,80.0,AJANTPHARM
28,5,4,80.0,APOLLOTYRE
30,5,4,80.0,ASIANPAINT
46,5,4,80.0,BAJAJHLDNG
49,6,5,83.33333333333334,BALRAMCHIN
61,7,5,71.42857142857143,BPCL
71,7,5,71.42857142857143,BOMDYEING
78,6,5,83.33333333333334,CRISIL
86,9,7,77.77777777777779,CENTRALBK
98,7,6,85.71428571428571,COALINDIA
102,8,6,75.0,CONCOR
111,7,5,71.42857142857143,DLF
112,7,6,85.71428571428571,DABUR
135,5,4,80.0,ERIS
138,8,6,75.0,FDC
145,5,4,80.0,GAIL
149,11,9,81.81818181818183,GMRINFRA
156,8,6,75.0,GODFRYPHLP
160,12,9,75.0,GODREJPROP
163,5,4,80.0,GRASIM
172,7,5,71.42857142857143,GNFC
180,6,6,100.0,HDFCBANK
182,8,6,75.0,HFCL
197,5,5,100.0,ICICIBANK
204,5,4,80.0,IDFC
216,8,6,75.0,INDIANB
248,8,7,87.5,JUBLFOOD
254,5,4,80.0,KSB
275,7,5,71.42857142857143,MOIL
276,5,4,80.0,MRF
282,7,5,71.42857142857143,MAHINDCIE
288,9,7,77.77777777777779,MARUTI
296,6,5,83.33333333333334,MUTHOOTFIN
302,8,6,75.0,NLCINDIA
305,5,5,100.0,NTPC
312,12,10,83.33333333333334,NETWORK18
315,5,4,80.0,OBEROIRLTY
316,6,6,100.0,ONGC
324,9,7,77.77777777777779,PNCINFRA
327,7,7,100.0,PAGEIND
338,7,5,71.42857142857143,PRAJIND
339,6,5,83.33333333333334,PRSMJOHNSN
341,5,5,100.0,PGHH
342,9,7,77.77777777777779,PNB
347,5,4,80.0,RAJESHEXPO
359,12,10,83.33333333333334,SANOFI
386,6,5,83.33333333333334,SUNDRMFAST
389,5,4,80.0,SUVENPHAR
394,8,6,75.0,TCIEXP
398,7,5,71.42857142857143,TV18BRDCST
402,5,5,100.0,TATACOFFEE
403,5,4,80.0,TATACOMM
404,8,7,87.5,TCS
407,8,6,75.0,TATAPOWER
434,7,6,85.71428571428571,VSTIND
