,total_trades,winning_trades,win_rate,symbol
0,5,4,80.0,ADANIENT
2,9,6,66.66666666666666,ADANIPORTS
6,5,4,80.0,ASIANPAINT
8,10,7,70.0,AXISBANK
12,5,4,80.0,BAJAJHLDNG
13,11,7,63.63636363636363,BANDHANBNK
14,8,5,62.5,BANKBARODA
15,10,7,70.0,BERGEPAINT
17,7,5,71.42857142857143,BPCL
22,4,3,75.0,CHOLAFIN
24,7,6,85.71428571428571,COALINDIA
25,4,3,75.0,COLPAL
26,7,5,71.42857142857143,DLF
27,7,6,85.71428571428571,DABUR
28,10,7,70.0,DIVISLAB
32,5,4,80.0,GAIL
35,5,4,80.0,GRASIM
38,6,6,100.0,HDFCBANK
39,9,6,66.66666666666666,HDFCLIFE
44,8,7,87.5,HDFC
45,5,5,100.0,ICICIBANK
54,8,5,62.5,INDIGO
56,6,4,66.66666666666666,KOTAKBANK
59,7,5,71.42857142857143,LICI
62,9,7,77.77777777777779,MARUTI
64,6,5,83.33333333333334,MUTHOOTFIN
65,5,5,100.0,NTPC
66,6,4,66.66666666666666,NESTLEIND
67,6,6,100.0,ONGC
72,5,5,100.0,PGHH
79,8,5,62.5,SBIN
81,8,7,87.5,TCS
83,8,6,75.0,TATAPOWER
84,10,7,70.0,TATASTEEL
90,4,3,75.0,MCDOWELL-N
