Company Name,Industry,Symbol,Series,ISIN Code
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014
City Union Bank Ltd.,Financial Services,CUB,EQ,INE491A01021
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028
RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028
