Company Name,Industry,Symbol,Series,ISIN Code
Dish TV India Ltd.,Media Entertainment & Publication,DISHTV,EQ,INE836F01026
Hathway Cable & Datacom Ltd.,Media Entertainment & Publication,HATHWAY,EQ,INE982F01036
NDTV Ltd.,Media Entertainment & Publication,NDTV,EQ,INE155G01029
Navneet Education Ltd.,Media Entertainment & Publication,NAVNETEDUL,EQ,INE060A01024
Nazara Technologies Ltd.,Media Entertainment & Publication,NAZARA,EQ,INE418L01021
Network18 Media & Investments Ltd.,Media Entertainment & Publication,NETWORK18,EQ,INE870H01013
PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX,EQ,INE191H01014
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,EQ,INE424H01027
TV18 Broadcast Ltd.,Media Entertainment & Publication,TV18BRDCST,EQ,INE886H01027
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,EQ,INE256A01028
