Company Name,Industry,Symbol,Series,ISIN Code
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ,INE901L01018
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
Eris Lifesciences Ltd.,Healthcare,ERIS,EQ,INE406M01024
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
Granules India Ltd.,Healthcare,GRANULES,EQ,INE101D01020
Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM,EQ,INE572A01028
Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA,EQ,INE700A01033
Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS,EQ,INE967H01017
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010
Medplus Health Services Ltd.,Consumer Services,MEDPLUS,EQ,INE804L01022
Metropolis Healthcare Ltd.,Healthcare,METROPOLIS,EQ,INE112L01020
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011
Pfizer Ltd.,Healthcare,PFIZER,EQ,INE182A01018
Poly Medicure Ltd.,Healthcare,POLYMED,EQ,INE205C01021
Procter & Gamble Health Ltd.,Healthcare,PGHL,EQ,INE199A01012
Sanofi India Ltd.,Healthcare,SANOFI,EQ,INE058A01010
Sequent Scientific Ltd.,Healthcare,SEQUENT,EQ,INE807F01027
Solara Active Pharma Sciences Ltd.,Healthcare,SOLARA,EQ,INE624Z01016
Strides Pharma Science Ltd.,Healthcare,STAR,EQ,INE939A01011
Suven Pharmaceuticals Ltd.,Healthcare,SUVENPHAR,EQ,INE03QK01018
Syngene International Ltd.,Healthcare,SYNGENE,EQ,INE398R01022
