Company Name,Industry,Symbol,Series,ISIN Code
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019
DLF Ltd.,Realty,DLF,EQ,INE271C01023
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
Indiabulls Real Estate Ltd.,Realty,IBREALEST,EQ,INE069I01010
Macrotech Developers Ltd.,Realty,LODHA,EQ,INE670K01029
Mahindra Lifespace Developers Ltd.,Realty,MAHLIFE,EQ,INE813A01018
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011
Sobha Ltd.,Realty,SOBHA,EQ,INE671H01015
